endpoints radix k_r p routers total_cost total_power cost_per_endpoint_indir power_per_endpoint_indir cost_per_endpoint_dir power_per_endpoint_dir
72 7 5 2 36 187999 705 2611.1038 9.8 5222.2076 19.6
342 11 8 3 114 707623 3511 2069.07546199 10.2666666667 6207.22638596 30.8
1056 15 11 4 264 1901682 11088 1800.83574242 10.5 7203.3429697 42.0
2550 19 14 5 510 4187208 27131 1642.04248784 10.64 8210.21243922 53.2
5256 23 17 6 876 8083147 56414 1537.88963196 10.7333333333 9227.33779178 64.4
9702 27 20 7 1386 14210453 104781 1464.69320173 10.8 10252.8524121 75.6
16512 31 23 8 2064 23305942 179155 1411.45482984 10.85 11291.6386388 86.8
26406 35 26 9 2934 36211547 287532 1371.33784413 10.8888888889 12342.0405971 98.0
40200 39 29 10 4020 53882779 438983 1340.36764557 10.92 13403.6764557 109.2
58806 43 32 11 5346 77385846 643658 1315.95153833 10.9454545455 14475.4669217 120.4
83232 47 35 12 6936 107884477 912777 1296.1899 10.9666666667 15554.2788 131.6
114582 51 38 13 8814 146711740 1258639 1280.40826935 10.9846153846 16645.3075015 142.8
154056 55 41 14 11004 195310252 1694616 1267.7873811 11.0 17749.0233354 154.0
202950 59 44 15 13530 255248424 2235156 1257.69117919 11.0133333333 18865.3676878 165.2
