endpoints radix k_r p routers total_cost total_power cost_per_endpoint_indir power_per_endpoint_indir cost_per_endpoint_dir power_per_endpoint_dir
16.0 4 2 2 20 112234 224 7014.649 14.0 5611.7192 11.2
54.0 6 3 3 45 299322 755 5543.00733333 14.0 6651.6088 16.8
128.0 8 4 4 80 636430 1792 4972.1147 14.0 7955.38352 22.4
250.0 10 5 5 125 1093710 3500 4374.84216 14.0 8749.68432 28.0
432.0 12 6 6 180 1767111 6047 4090.53633333 14.0 9817.2872 33.6
686.0 14 7 7 245 2663381 9603 3882.47994286 14.0 10870.94384 39.2
1024.0 16 8 8 320 3815872 14336 3726.43765 14.0 11924.60048 44.8
1458.0 18 9 9 405 5361233 20412 3677.11471111 14.0 13237.61296 50.4
2000.0 20 10 10 500 7011382 28000 3505.6914 14.0 14022.7656 56.0
2662.0 22 11 11 605 9278145 37268 3485.40410909 14.0 15335.77808 61.6
3456.0 24 12 12 720 11987129 48383 3468.49803333 14.0 16648.79056 67.2
4394.0 26 13 13 845 14543447 61516 3309.84230769 14.0 17211.18 72.8
5488.0 28 14 14 980 17908505 76831 3263.21157143 14.0 18273.9848 78.4
6750.0 30 15 15 1125 21800956 94500 3229.77138667 14.0 19378.62832 84.0
8192.0 32 16 16 1280 26170946 114688 3194.695625 14.0 20446.052 89.6
9826.0 34 17 17 1445 31086972 137563 3163.74642353 14.0 21513.47568 95.2
11664.0 36 18 18 1620 36581056 163296 3136.23602222 14.0 22580.89936 100.8
13718.0 38 19 19 1805 43145185 192051 3145.15126316 14.0 23903.1496 106.4
16000.0 40 20 20 2000 50450799 224000 3153.17498 14.0 25225.39984 112.0
18522.0 42 21 21 2205 56791375 259308 3066.15784762 14.0 25755.72592 117.6
21296.0 44 22 22 2420 65528702 298144 3077.04274545 14.0 27077.97616 123.2
24334.0 46 23 23 2645 75118598 340675 3086.98113043 14.0 28400.2264 128.8
27648.0 48 24 24 2880 85600732 387071 3096.09131667 14.0 29722.47664 134.4
31250.0 50 25 25 3125 93943791 437500 3006.201328 14.0 30062.01328 140.0
