endpoints radix k_r p routers total_cost total_power cost_per_endpoint_indir power_per_endpoint_indir cost_per_endpoint_dir power_per_endpoint_dir
54 8 5 3 18 97602 403 1807.46137778 7.46666666667 5422.38413333 22.4
128 10 6 4 32 188531 896 1472.8994 7.0 5891.5976 28.0
200 11 7 4 50 307955 1539 1539.77746 7.7 6159.10984 30.8
588 17 11 6 98 745504 4664 1267.86433333 7.93333333333 7607.186 47.6
896 19 12 7 128 1034319 6809 1154.37422857 7.6 8080.6196 53.2
1134 20 13 7 162 1352489 9072 1192.67194286 8.0 8348.7036 56.0
2178 26 17 9 242 2372919 17617 1089.49474343 8.08888888889 9805.45269091 72.8
3380 29 19 10 338 3570745 27445 1056.43344308 8.12 10564.3344308 81.2
6656 37 24 13 512 6400791 53043 961.657353846 7.96923076923 12501.5456 103.6
7514 38 25 13 578 7389691 61499 983.456352941 8.18461538462 12784.9325882 106.4
10830 44 29 15 722 10286249 88950 949.792181053 8.21333333333 14246.8827158 123.2
19044 53 35 18 1058 17442571 157007 915.909011594 8.24444444444 16486.3622087 148.4
23750 56 37 19 1250 21566811 195999 908.076273684 8.25263157895 17253.4492 156.8
30618 62 41 21 1458 27321234 253108 892.325906878 8.26666666667 18738.8440444 173.6
37004 65 43 22 1682 32809847 306124 886.656780564 8.27272727273 19506.4491724 182.0
46128 71 47 24 1922 40360645 382093 874.970627419 8.28333333333 20999.2950581 198.8
51200 73 48 25 2048 44017192 418611 859.710796 8.176 21492.7699 204.4
76664 83 55 28 2738 65837242 636311 858.776510039 8.3 24045.7422811 232.4
104222 92 61 31 3362 88457703 866051 848.743097089 8.30967741935 26311.0360098 257.6
122034 98 65 33 3698 102874619 1014731 842.99965074 8.31515151515 27818.9884744 274.4
