PolarFly,,,,SlimFly,,,HyperX,,,Petersen Graph,,,Hoffman-Singleton Graph,
Degree,Percentage of Moore Bound,,,Degree,Percentage of Moore Bound,,Degree,Percentage of Moore Bound,,Degree,Percentage of Moore Bound,,Degree,Percentage of Moore Bound
2,60,,,5,69.2307692307692,,2,80,,3,100,,7,100
3,70,,,6,86.4864864864865,,3,60,,,,,,
4,76.4705882352941,,,7,100,,4,52.9411764705882,,,,,,
5,80.7692307692308,,,11,80.327868852459,,5,46.1538461538462,,,,,,
6,83.7837837837838,,,12,88.2758620689655,,6,43.2432432432432,,,,,,
8,87.6923076923077,,,13,95.2941176470588,,7,40,,,,,,
9,89.0243902439024,,,17,83.448275862069,,8,38.4615384615385,,,,,,
12,91.7241379310345,,,19,93.3701657458564,,9,36.5853658536585,,,,,,
14,92.8934010152284,,,24,88.734835355286,,10,35.6435643564356,,,,,,
17,94.1379310344828,,,25,92.332268370607,,11,34.4262295081967,,,,,,
18,94.4615384615385,,,29,85.7482185273159,,12,33.7931034482759,,,,,,
20,95.0124688279302,,,35,86.2969004893964,,13,32.9411764705882,,,,,,
24,95.840554592721,,,37,91.2408759124088,,14,32.48730964467,,,,,,
26,96.1595273264402,,,41,86.6825208085612,,15,31.858407079646,,,,,,
28,96.4331210191083,,,43,90.9189189189189,,16,31.5175097276265,,,,,,
30,96.6703662597114,,,47,86.9683257918552,,17,31.0344827586207,,,,,,
32,96.8780487804878,,,48,88.8503253796096,,18,30.7692307692308,,,,,,
33,96.9724770642202,,,55,90.482485128883,,19,30.3867403314917,,,,,,
38,97.3702422145329,,,61,90.3277807630306,,20,30.1745635910224,,,,,,
42,97.6203966005666,,,65,87.5059157595835,,21,29.8642533936652,,,,,,
44,97.7284460505937,,,71,87.6239587465292,,22,29.6907216494845,,,,,,
48,97.9175704989154,,,73,90.093808630394,,23,29.4339622641509,,,,,,
50,98.000799680128,,,79,90.0032041012496,,24,29.2894280762565,,,,,,
54,98.148782996229,,,89,87.8818480181772,,25,29.073482428115,,,,,,
60,98.3337961677312,,,91,89.8575223375996,,26,28.9512555391433,,,,,,
62,98.3875162548765,,,96,88.8792448736031,,27,28.7671232876712,,,,,,
65,98.4619025082821,,,101,88.0023524799059,,28,28.6624203821656,,,,,,
68,98.5297297297297,,,107,88.0524017467249,,29,28.5035629453682,,,,,,
72,98.6113789778206,,,109,89.6987039218987,,30,28.4128745837958,,,,,,
74,98.6488953806829,,,119,88.1372687473521,,31,28.2744282744283,,,,,,
80,98.7501952819872,,,121,89.6189045212403,,32,28.1951219512195,,,,,,
82,98.7806691449814,,,125,88.1735568923589,,33,28.0733944954128,,,,,,
84,98.8096925038968,,,,,,34,28.0034572169404,,,,,,
90,98.8890260461671,,,,,,35,27.8955954323002,,,,,,
98,98.9796980739198,,,,,,36,27.8334618350039,,,,,,
102,99.0197020663143,,,,,,37,27.7372262773723,,,,,,
104,99.0385504298789,,,,,,38,27.681660899654,,,,,,
108,99.0741534504929,,,,,,39,27.5952693823916,,,,,,
110,99.0909842161805,,,,,,40,27.5452841973766,,,,,,
114,99.1228745095022,,,,,,41,27.4673008323424,,,,,,
122,99.1803829358415,,,,,,42,27.4220963172805,,,,,,
,,,,,,,43,27.3513513513514,,,,,,
,,,,,,,44,27.3102736189984,,,,,,
,,,,,,,45,27.2458045409674,,,,,,
,,,,,,,46,27.2083136513935,,,,,,
,,,,,,,47,27.1493212669683,,,,,,
,,,,,,,48,27.114967462039,,,,,,
,,,,,,,49,27.0607826810991,,,,,,
,,,,,,,50,27.0291883246701,,,,,,
,,,,,,,51,26.9792467332821,,,,,,
,,,,,,,52,26.9500924214418,,,,,,
,,,,,,,53,26.9039145907473,,,,,,
,,,,,,,54,26.8769283510456,,,,,,
,,,,,,,55,26.8341044282882,,,,,,
,,,,,,,56,26.8090532355754,,,,,,
,,,,,,,57,26.7692307692308,,,,,,
,,,,,,,58,26.7459138187221,,,,,,
,,,,,,,59,26.7087880528432,,,,,,
,,,,,,,60,26.6870313801722,,,,,,
,,,,,,,61,26.6523374529823,,,,,,
,,,,,,,62,26.6319895968791,,,,,,
,,,,,,,63,26.5994962216625,,,,,,
,,,,,,,64,26.5804247010007,,,,,,
,,,,,,,65,26.549929010885,,,,,,
,,,,,,,66,26.5320174431949,,,,,,
,,,,,,,67,26.5033407572383,,,,,,
,,,,,,,68,26.4864864864865,,,,,,
,,,,,,,69,26.4594708105838,,,,,,
,,,,,,,70,26.4435829422567,,,,,,
,,,,,,,71,26.4180880602935,,,,,,
,,,,,,,72,26.4030858244937,,,,,,
,,,,,,,73,26.3789868667917,,,,,,
,,,,,,,74,26.3647982472156,,,,,,
,,,,,,,75,26.3419836473516,,,,,,
,,,,,,,76,26.3285442271075,,,,,,
,,,,,,,77,26.3069139966273,,,,,,
,,,,,,,78,26.2941659819228,,,,,,
,,,,,,,79,26.2736302467158,,,,,,
,,,,,,,80,26.2615216372442,,,,,,
,,,,,,,81,26.2419993904297,,,,,,
,,,,,,,82,26.2304832713755,,,,,,
,,,,,,,83,26.2119013062409,,,,,,
,,,,,,,84,26.2009352416041,,,,,,
,,,,,,,85,26.1832272349848,,,,,,
,,,,,,,86,26.1727727457077,,,,,,
,,,,,,,87,26.1558784676354,,,,,,
,,,,,,,88,26.14590058102,,,,,,
,,,,,,,89,26.1297652108053,,,,,,
,,,,,,,90,26.1202320701148,,,,,,
,,,,,,,91,26.1048056025115,,,,,,
,,,,,,,92,26.0956881275842,,,,,,
,,,,,,,93,26.0809248554913,,,,,,
,,,,,,,94,26.072196446758,,,,,,
,,,,,,,95,26.0580545091957,,,,,,
,,,,,,,96,26.0496907887599,,,,,,
,,,,,,,97,26.0361317747078,,,,,,
,,,,,,,98,26.0281103591879,,,,,,
,,,,,,,99,26.015098959396,,,,,,
,,,,,,,100,26.007399260074,,,,,,
,,,,,,,101,25.9949029602039,,,,,,
,,,,,,,102,25.9875060067275,,,,,,
,,,,,,,103,25.9754948162111,,,,,,
,,,,,,,104,25.9683831006749,,,,,,
,,,,,,,105,25.956829312534,,,,,,
,,,,,,,106,25.9499866512414,,,,,,
,,,,,,,107,25.938864628821,,,,,,
,,,,,,,108,25.9322760394342,,,,,,
,,,,,,,109,25.9215620265949,,,,,,
,,,,,,,110,25.9152136187092,,,,,,
,,,,,,,111,25.9048855705243,,,,,,
,,,,,,,112,25.8987644479872,,,,,,
,,,,,,,113,25.8888018794049,,,,,,
,,,,,,,114,25.8828960529353,,,,,,
,,,,,,,115,25.8732799032209,,,,,,
,,,,,,,116,25.8675782120829,,,,,,
,,,,,,,117,25.8582907231556,,,,,,
,,,,,,,118,25.8527827648115,,,,,,
,,,,,,,119,25.8438073718401,,,,,,
,,,,,,,120,25.8384834386501,,,,,,
,,,,,,,121,25.829804671493,,,,,,
,,,,,,,122,25.8246556936513,,,,,,
,,,,,,,123,25.8162590879048,,,,,,
,,,,,,,124,25.811276581908,,,,,,
,,,,,,,125,25.8031485984897,,,,,,
