input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 8, 17.4554, 46, 0.0146667, 0.0250074, 0.0356667, 0, 543, 10563, 95476, 621324, 0, 
0.2, 8, 18.7025, 51, 0.035, 0.0499892, 0.067, 0, 1080, 20982, 190600, 1242512, 0, 
0.30000000000000004, 8, 20.4093, 59, 0.0566667, 0.0749646, 0.0926667, 0, 1557, 31296, 286643, 1862930, 0, 
0.4, 8, 22.7907, 79, 0.0793333, 0.0999939, 0.122, 0, 2056, 42160, 381962, 2485237, 0, 
0.5, 8, 26.2668, 108, 0.101333, 0.124937, 0.151667, 0, 2597, 52343, 477221, 3106052, 0, 
0.6, 8, 31.7503, 159, 0.125, 0.14996, 0.176333, 0, 3102, 63016, 574066, 3727803, 0, 
0.7000000000000001, 8, 41.8963, 282, 0.150333, 0.174968, 0.203, 0, 3625, 73550, 669717, 4351737, 0, 
0.71, 8, 43.5957, 430, 0.152, 0.177466, 0.202333, 0, 3634, 74628, 678981, 4414403, 0,
0.72, 8, 45.5982, 457, 0.153, 0.179962, 0.211, 0, 3803, 75395, 688315, 4477159, 0,
0.73, 8, 48.1226, 677, 0.158, 0.182473, 0.210333, 0, 3864, 76836, 698237, 4539453, 0,
0.74, 8, 51.2569, 870, 0.156667, 0.184987, 0.214, 0, 3932, 77566, 708191, 4602347, 0,
0.75, 8, 57.3814, 974, 0.161667, 0.18746, 0.214333, 0, 3934, 78637, 717037, 4665327, 0,
0.76, 8, 67.2202, 1136, 0.161, 0.189962, 0.219333, 0, 3982, 80025, 726250, 4730063, 0,
0.77, 8, 89.1635, 1381, 0.160667, 0.192175, 0.225333, 0, 4007, 81005, 738030, 4794657, 0,
0.78, 8, 139.333, 1947, 0.153, 0.193612, 0.2142, 0, 6727, 136561, 1244838, 8096052, 0,
0.7899999999999999, 8, 193.149, 2379, 0.1412, 0.194277, 0.2228, 0, 7136, 139131, 1262465, 8211058, 0,
0.8, 8, 260.311, 2570, 0.1432, 0.194256, 0.2192, 0, 6911, 140805, 1284696, 8342987, 0, 
0.81, 8, 324.452, 2741, 0.1346, 0.194113, 0.2206, 0, 7137, 143526, 1304844, 8475505, 0, 
0.8200000000000001, 8, 395.348, 3183, 0.1382, 0.194006, 0.2256, 0, 7327, 145150, 1326888, 8620402, 0, 
0.8300000000000001, 8, 450.643, 2978, 0.141, 0.193858, 0.2238, 0, 7343, 147749, 1345831, 8758214, 0, 
0.8400000000000001, -, -, -, -, -, -, -, -, -, -, -, -, 
