input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.0, 11, 24.97, 35, 0, 0.00249956, 0.00633333, 0, 0, 38, 2, 647, 1514, 
0.1, 11, 27.2732, 55, 0.0156667, 0.025127, 0.0356667, 0, 0, 485, 19, 6215, 14729, 
0.2, 11, 31.9935, 93, 0.0363333, 0.0500983, 0.066, 0, 0, 1146, 61, 14113, 29459, 
0.30000000000000004, 11, 41.1454, 130, 0.0586667, 0.0751253, 0.092, 0, 0, 3680, 202, 40294, 43840, 
0.21000000000000002, 11, 32.6632, 87, 0.0343333, 0.0525823, 0.069, 0, 0, 1223, 77, 15390, 30882, 
0.22000000000000003, 11, 33.3662, 97, 0.0396667, 0.0551084, 0.071, 0, 0, 1374, 85, 16832, 32290, 
0.23, 11, 34.1168, 94, 0.043, 0.0576008, 0.0743333, 0, 0, 1672, 86, 18685, 33978, 
0.24000000000000002, 11, 34.8975, 105, 0.0463333, 0.0601187, 0.0763333, 0, 0, 1768, 94, 20620, 35314, 
0.25, 11, 35.7476, 103, 0.0463333, 0.0626293, 0.0793333, 0, 0, 1945, 107, 22886, 36614, 
0.26, 11, 36.666, 107, 0.0476667, 0.0651454, 0.0823333, 0, 0, 2214, 126, 25289, 38141, 
0.27, 11, 37.6256, 111, 0.051, 0.0676392, 0.085, 0, 0, 2582, 127, 28478, 39639, 
0.28, 11, 38.7247, 120, 0.0526667, 0.0701506, 0.086, 0, 0, 3024, 155, 31634, 40828, 
0.29000000000000004, 11, 39.8435, 131, 0.057, 0.0726362, 0.09, 0, 0, 3361, 193, 35509, 42231, 
0.30000000000000004, 11, 41.1454, 130, 0.0586667, 0.0751253, 0.092, 0, 0, 3680, 202, 40294, 43840, 
0.31000000000000005, 11, 42.7081, 1149, 0.0613333, 0.0776038, 0.096, 0, 0, 4039, 206, 44990, 44730, 
0.32, -, -, -, -, -, -, -, -, -, -, -, -, 
