input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.0, 8, 16.5094, 25, 0, 0.00249956, 0.00633333, 0, 48, 753, 5917, 32695, 0, 
0.1, 8, 17.3501, 38, 0.0156667, 0.025127, 0.0356667, 0, 457, 7681, 59930, 328149, 0, 
0.2, 8, 18.583, 45, 0.0363333, 0.0500983, 0.066, 0, 873, 15213, 119080, 654880, 0, 
0.30000000000000004, 8, 20.2437, 70, 0.0586667, 0.0751253, 0.092, 0, 1367, 23242, 179157, 981058, 0, 
0.4, 8, 22.5839, 72, 0.082, 0.100058, 0.123667, 0, 1768, 30729, 238315, 1307392, 0, 
0.5, 8, 26.0209, 103, 0.102, 0.125078, 0.145667, 0, 2333, 38451, 298169, 1634211, 0, 
0.6000000000000001, 8, 31.3576, 135, 0.128333, 0.150072, 0.180667, 0, 2758, 45888, 357554, 1961895, 0, 
0.7000000000000001, 8, 40.8152, 210, 0.151667, 0.175103, 0.200667, 0, 3213, 53620, 416273, 2291120, 0, 
0.8, 8, 74.5319, 818, 0.172, 0.199923, 0.227667, 0, 3577, 61161, 476094, 2623145, 0, 
0.71, 8, 42.1815, 225, 0.154, 0.177606, 0.202333, 0, 3256, 54446, 423159, 2323024, 0, 
0.72, 8, 43.6343, 251, 0.154, 0.18011, 0.205667, 0, 3277, 55214, 429196, 2355845, 0, 
0.73, 8, 45.2944, 403, 0.159667, 0.182608, 0.208333, 0, 3355, 55742, 433745, 2390309, 0, 
0.74, 8, 47.1998, 571, 0.157333, 0.185112, 0.210667, 0, 3428, 57077, 441655, 2420778, 0, 
0.75, 8, 49.1778, 370, 0.161333, 0.187605, 0.214, 0, 3365, 57537, 446047, 2455509, 0, 
0.76, 8, 51.6423, 416, 0.164667, 0.190132, 0.214667, 0, 3345, 58157, 451822, 2489386, 0, 
0.77, 8, 54.1352, 409, 0.168667, 0.192631, 0.22, 0, 3534, 59185, 457563, 2522056, 0, 
0.78, 8, 57.949, 531, 0.17, 0.195138, 0.224, 0, 3517, 59994, 464067, 2554810, 0, 
0.7899999999999999, 8, 64.3746, 847, 0.162667, 0.197675, 0.224333, 0, 3585, 60483, 470428, 2589066, 0, 
0.7999999999999999, 8, 74.5319, 818, 0.172, 0.199923, 0.227667, 0, 3577, 61161, 476094, 2623145, 0, 
0.8099999999999999, 8, 102.991, 1723, 0.1575, 0.201878, 0.23225, 0, 4885, 82982, 643698, 3545639, 0, 
0.82, 8, 148.556, 1858, 0.161, 0.202667, 0.2292, 0, 6101, 105049, 816599, 4486416, 0, 
0.83, 8, 207.477, 1892, 0.155, 0.202856, 0.227, 0, 6357, 106706, 827181, 4558270, 0, 
0.84, 8, 271.434, 2098, 0.1562, 0.20275, 0.235, 0, 6287, 108159, 842637, 4631177, 0, 
0.85, 8, 331.376, 2369, 0.1532, 0.202644, 0.2338, 0, 6571, 110439, 855249, 4706385, 0, 
0.86, 8, 397.194, 2577, 0.1452, 0.202669, 0.2372, 0, 6711, 112174, 870533, 4787847, 0, 
0.87, 8, 473.748, 2660, 0.1554, 0.201568, 0.2332, 0, 6664, 113983, 885207, 4867476, 0, 
0.88, -, -, -, -, -, -, -, -, -, -, -, -, 
