input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.0, 8, 16.1043, 26, 0, 0.00249635, 0.007, 0, 74, 2206, 20206, 50758, 0, 
0.1, 8, 19.0759, 1103, 0.0136667, 0.0250072, 0.037, 0, 820, 22229, 203162, 507540, 0, 
0.01, 8, 16.1043, 26, 0, 0.00249635, 0.007, 0, 74, 2206, 20206, 50758, 0, 
0.02, 8, 16.2302, 32, 0.00133333, 0.0049892, 0.0113333, 0, 197, 4497, 40346, 101344, 0, 
0.03, 8, 16.3914, 32, 0.00233333, 0.00749332, 0.014, 0, 255, 6660, 60735, 152206, 0, 
0.04, 8, 16.5572, 49, 0.00433333, 0.00998364, 0.0176667, 0, 357, 9086, 81405, 202076, 0, 
0.05, 8, 16.7562, 45, 0.00566667, 0.0124891, 0.0226667, 0, 396, 11203, 101903, 252939, 0, 
0.060000000000000005, 8, 17.0035, 56, 0.00766667, 0.0149895, 0.025, 0, 514, 13199, 121905, 304194, 0, 
0.06999999999999999, 8, 17.2855, 55, 0.00933333, 0.0175036, 0.0273333, 0, 568, 15545, 142609, 354849, 0, 
0.08, 8, 17.6443, 76, 0.012, 0.020011, 0.0306667, 0, 698, 17590, 163323, 405546, 0, 
0.09, 8, 18.1187, 164, 0.012, 0.022507, 0.0326667, 0, 748, 20219, 183053, 456359, 0, 
0.09999999999999999, 8, 19.0759, 1103, 0.0136667, 0.0250072, 0.037, 0, 820, 22229, 203162, 507540, 0, 
0.11, 8, 21.8528, 2356, 0.0166667, 0.0274879, 0.04, 0, 936, 24552, 223861, 557276, 0, 
0.12, 8, 37.3879, 16987, 0.0102, 0.0299822, 0.039, 0, 1580, 44674, 407481, 1014333, 0, 
0.13, 8, 56.3834, 17987, 0.0084, 0.0324362, 0.0418, 0, 1785, 48382, 440913, 1099637, 0, 
0.14, 8, 100.81, 24384, 0.0072, 0.0347878, 0.045, 0, 1925, 51927, 475976, 1184438, 0, 
0.15000000000000002, -, -, -, -, -, -, -, -, -, -, -, -, 
