input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.0, 8, 24.2425, 38, 0, 0.00249635, 0.007, 0, 74, 412, 204, 1535, 8578, 
0.1, 8, 34.939, 107, 0.0143333, 0.0250072, 0.035, 0, 811, 4924, 10584, 28254, 84029, 
0.01, 8, 24.2425, 38, 0, 0.00249635, 0.007, 0, 74, 412, 204, 1535, 8578, 
0.02, 8, 24.7391, 43, 0.00133333, 0.0049892, 0.0113333, 0, 197, 774, 442, 2983, 17168, 
0.03, 8, 25.3428, 51, 0.00233333, 0.00749332, 0.014, 0, 255, 1171, 597, 4572, 25591, 
0.04, 8, 26.0676, 54, 0.00433333, 0.00998364, 0.0176667, 0, 357, 1478, 856, 6152, 34413, 
0.05, 8, 26.9278, 63, 0.00566667, 0.0124891, 0.0226667, 0, 396, 1958, 1152, 8093, 42979, 
0.060000000000000005, 8, 28.0436, 85, 0.00766667, 0.0149895, 0.025, 0, 514, 2322, 1557, 9889, 51147, 
0.06999999999999999, 8, 29.3294, 79, 0.00933333, 0.0175036, 0.0273333, 0, 568, 2815, 2333, 12198, 59712, 
0.08, 8, 30.8681, 85, 0.012, 0.020011, 0.0306667, 0, 698, 3186, 3612, 15545, 68563, 
0.09, 8, 32.7177, 104, 0.012, 0.022507, 0.0326667, 0, 748, 4039, 6113, 20631, 76285, 
0.09999999999999999, 8, 34.939, 107, 0.0143333, 0.0250072, 0.035, 0, 811, 4924, 10584, 28254, 84029, 
0.11, 8, 37.3995, 118, 0.0163333, 0.0274911, 0.0386667, 0, 917, 6204, 16961, 38834, 91865, 
0.12, 8, 40.2893, 135, 0.0186667, 0.0299954, 0.0416667, 0, 1061, 7592, 26869, 54584, 98739, 
0.13, 8, 43.6357, 155, 0.021, 0.0325046, 0.0446667, 0, 1071, 9816, 40666, 76317, 104779, 
0.14, 8, 47.5747, 188, 0.022, 0.0350107, 0.0476667, 0, 1165, 12218, 58411, 104604, 110144, 
0.15000000000000002, 8, 52.3088, 219, 0.026, 0.0375091, 0.0516667, 0, 1280, 15134, 79608, 144164, 114348, 
0.16, 8, 63.265, 2934, 0.027, 0.0400127, 0.0546667, 0, 1294, 18410, 105889, 200240, 116089, 
0.17, -, -, -, -, -, -, -, -, -, -, -, -, 
