input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.0, 8, 24.2584, 39, 0, 0.00249635, 0.007, 0, 82, 359, 213, 1587, 8465, 
0.1, 8, 34.9019, 105, 0.0143333, 0.0250072, 0.035, 0, 784, 5181, 10535, 27945, 83738, 
0.2, 8, 76.0001, 762, 0.036, 0.049986, 0.0653333, 0, 1491, 36175, 228579, 441122, 123020, 
0.11000000000000003, 8, 37.3325, 129, 0.0163333, 0.0274911, 0.0386667, 0, 856, 6339, 17537, 38998, 91276, 
0.12000000000000002, 8, 40.0829, 137, 0.0186667, 0.0299954, 0.0416667, 0, 869, 8173, 27898, 54473, 98638, 
0.13000000000000003, 8, 43.2199, 139, 0.021, 0.0325046, 0.0446667, 0, 956, 10663, 41544, 75914, 104507, 
0.14, 8, 46.5587, 188, 0.022, 0.0350107, 0.0476667, 0, 1028, 13597, 59606, 102969, 110267, 
0.15000000000000002, 8, 50.2913, 186, 0.026, 0.0375091, 0.0516667, 0, 1135, 16815, 81595, 138050, 114611, 
0.16000000000000003, 8, 54.3145, 191, 0.0273333, 0.0400127, 0.0536667, 0, 1199, 20956, 106887, 181223, 118302, 
0.17000000000000004, 8, 58.6957, 246, 0.029, 0.0425084, 0.0566667, 0, 1264, 24524, 135582, 232518, 120692, 
0.18000000000000005, 8, 63.4082, 365, 0.0326667, 0.045004, 0.059, 0, 1301, 28494, 165920, 292674, 122626, 
0.19000000000000003, 8, 69.2369, 702, 0.0333333, 0.0474915, 0.061, 0, 1423, 32313, 196751, 362238, 123892, 
0.2, 8, 76.0001, 762, 0.036, 0.049986, 0.0653333, 0, 1491, 36175, 228579, 441122, 123020, 
0.21000000000000002, 8, 83.6294, 1722, 0.0383333, 0.0524757, 0.0676667, 0, 1544, 39426, 261208, 527198, 122982, 
0.22000000000000003, 8, 97.224, 3423, 0.0396667, 0.054983, 0.0733333, 0, 1704, 42979, 292597, 620150, 121559, 
0.23000000000000004, 8, 105.83, 2514, 0.0406667, 0.0575055, 0.0736667, 0, 1712, 45600, 326970, 715925, 120553, 
0.24000000000000005, -, -, -, -, -, -, -, -, -, -, -, -, 
