input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.0, 20, 20.0464, 25, 0, 0.00250309, 0.00633333, 0, 0, 0, 0, 0, 43794, 
0.1, 20, 20.6035, 37, 0.0146667, 0.0250979, 0.0356667, 0, 0, 0, 0, 0, 439138, 
0.2, 20, 21.555, 47, 0.0343333, 0.0500979, 0.0646667, 0, 0, 0, 0, 0, 876616, 
0.30000000000000004, 20, 22.9543, 55, 0.0566667, 0.0751079, 0.095, 0, 0, 0, 0, 0, 1314368, 
0.4, 20, 24.9225, 80, 0.0803333, 0.100038, 0.119667, 0, 0, 0, 0, 0, 1750815, 
0.5, 20, 27.7185, 86, 0.101667, 0.125057, 0.148667, 0, 0, 0, 0, 0, 2189066, 
0.6000000000000001, 20, 31.8936, 109, 0.128, 0.150042, 0.174667, 0, 0, 0, 0, 0, 2627120, 
0.7000000000000001, 20, 38.7018, 147, 0.150333, 0.175069, 0.201333, 0, 0, 0, 0, 0, 3066631, 
0.8, 20, 51.7579, 218, 0.174333, 0.200119, 0.224333, 0, 0, 0, 0, 0, 3508251, 
0.9, 20, 89.3271, 599, 0.197667, 0.225094, 0.249, 0, 0, 0, 0, 0, 3955739, 
0.81, 20, 53.7141, 283, 0.177667, 0.202627, 0.231, 0, 0, 0, 0, 0, 3552929, 
0.8200000000000001, 20, 56.0321, 255, 0.177, 0.205129, 0.228333, 0, 0, 0, 0, 0, 3597227, 
0.8300000000000001, 20, 58.5933, 307, 0.179333, 0.207632, 0.236, 0, 0, 0, 0, 0, 3641699, 
0.8400000000000001, 20, 61.1943, 313, 0.185, 0.210106, 0.236, 0, 0, 0, 0, 0, 3685879, 
0.8500000000000001, 20, 64.4291, 283, 0.182667, 0.212598, 0.239, 0, 0, 0, 0, 0, 3730448, 
0.8600000000000001, 20, 67.9931, 327, 0.19, 0.215098, 0.238667, 0, 0, 0, 0, 0, 3774917, 
0.8700000000000001, 20, 71.8653, 337, 0.193667, 0.217587, 0.242667, 0, 0, 0, 0, 0, 3819909, 
0.8800000000000001, 20, 76.8382, 656, 0.192, 0.220081, 0.246333, 0, 0, 0, 0, 0, 3864879, 
0.89, 20, 82.6074, 639, 0.195667, 0.222582, 0.247, 0, 0, 0, 0, 0, 3910069, 
0.9, 20, 89.3271, 599, 0.197667, 0.225094, 0.249, 0, 0, 0, 0, 0, 3955739, 
0.91, 20, 97.7454, 911, 0.195667, 0.227573, 0.25, 0, 0, 0, 0, 0, 4001889, 
0.92, 20, 108.481, 719, 0.203667, 0.230053, 0.25, 0, 0, 0, 0, 0, 4048462, 
0.93, 20, 121.981, 829, 0.206, 0.232548, 0.25, 0, 0, 0, 0, 0, 4095994, 
0.9400000000000001, 20, 143.297, 1184, 0.209667, 0.234825, 0.25, 0, 0, 0, 0, 0, 4145000, 
0.9500000000000001, 20, 177.084, 1293, 0.2148, 0.236638, 0.25, 0, 0, 0, 0, 0, 6964495, 
0.9600000000000001, 20, 215.282, 1539, 0.2068, 0.237747, 0.25, 0, 0, 0, 0, 0, 7048251, 
0.9700000000000001, 20, 261.527, 1717, 0.2058, 0.237649, 0.25, 0, 0, 0, 0, 0, 7133859, 
0.9800000000000001, 21, 311.967, 2224, 0.188, 0.237921, 0.2492, 0, 0, 0, 0, 0, 7225748, 
0.99, 23, 358.922, 1740, 0.2078, 0.23796, 0.2486, 0, 0, 0, 0, 0, 7321951, 
