input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 8, 20.7401, 40, 0.0146667, 0.0250979, 0.0356667, 0, 1385, 0, 22923, 0, 414830, 
0.2, 8, 22.1915, 52, 0.0343333, 0.0500979, 0.0646667, 0, 2644, 0, 46014, 0, 827958, 
0.30000000000000004, 8, 24.1302, 57, 0.0566667, 0.0751079, 0.095, 0, 3989, 0, 69104, 0, 1241275, 
0.4, 8, 26.7132, 70, 0.0803333, 0.100038, 0.119667, 0, 5415, 0, 92406, 0, 1652994, 
0.5, 8, 30.3181, 91, 0.101667, 0.125057, 0.148667, 0, 6776, 0, 114415, 0, 2067875, 
0.6, 8, 35.6124, 112, 0.128, 0.150042, 0.174667, 0, 7916, 0, 137801, 0, 2481403, 
0.7000000000000001, 8, 44.169, 155, 0.150333, 0.175069, 0.201333, 0, 9618, 0, 160756, 0, 2896257, 
0.8, 8, 60.7054, 247, 0.174333, 0.200119, 0.224333, 0, 10779, 0, 184194, 0, 3313278, 
0.9, 8, 106.699, 699, 0.195, 0.225038, 0.25, 0, 12095, 0, 207464, 0, 3736112, 
0.91, 8, 116.679, 729, 0.204, 0.22758, 0.25, 0, 12362, 0, 209847, 0, 3779432, 
0.92, 8, 129.553, 833, 0.205, 0.230036, 0.25, 0, 12604, 0, 211716, 0, 3824057, 
0.93, 8, 144.459, 786, 0.205, 0.232546, 0.25, 0, 12675, 0, 215267, 0, 3868083, 
0.9400000000000001, 8, 170.302, 1454, 0.183667, 0.234458, 0.25, 0, 12669, 0, 216494, 0, 3915395, 
0.9500000000000001, 8, 202.237, 1945, 0.15325, 0.235406, 0.25, 0, 17059, 0, 292133, 0, 5271142, 
0.9600000000000001, 8, 246.441, 2075, 0.1928, 0.23599, 0.25, 0, 21577, 0, 370213, 0, 6654640, 
0.97, 8, 303.824, 2208, 0.1886, 0.235582, 0.25, 0, 22112, 0, 374055, 0, 6734695, 
0.98, 8, 351.046, 2611, 0.1636, 0.234418, 0.2498, 0, 22538, 0, 378608, 0, 6818984, 
0.99, 9, 410.927, 2838, 0.1844, 0.234466, 0.2492, 0, 22835, 0, 382898, 0, 6910042, 
