input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.0, 8, 14.9978, 27, 0, 0.00249624, 0.00666667, 0, 94, 2289, 46339, 25643, 0, 
0.1, 8, 17.5975, 3832, 0.0153333, 0.025004, 0.0356667, 0, 754, 23590, 464280, 256291, 0, 
0.01, 8, 14.9978, 27, 0, 0.00249624, 0.00666667, 0, 94, 2289, 46339, 25643, 0, 
0.02, 8, 15.0669, 28, 0.000666667, 0.00498886, 0.0106667, 0, 162, 4666, 92511, 51281, 0, 
0.03, 8, 15.1346, 30, 0.00233333, 0.00749362, 0.0136667, 0, 221, 6993, 139105, 76921, 0, 
0.04, 8, 15.2284, 39, 0.00433333, 0.00998342, 0.017, 0, 317, 9454, 184919, 102722, 0, 
0.05, 8, 15.3282, 42, 0.00433333, 0.0124899, 0.0206667, 0, 403, 11621, 231712, 128344, 0, 
0.060000000000000005, 8, 15.4274, 40, 0.007, 0.0149876, 0.024, 0, 469, 14110, 278583, 153336, 0, 
0.06999999999999999, 8, 15.5628, 63, 0.00866667, 0.0175043, 0.028, 0, 505, 16338, 325136, 179500, 0, 
0.08, 8, 15.7283, 66, 0.0113333, 0.0200075, 0.0306667, 0, 597, 18914, 371201, 205346, 0, 
0.09, 8, 16.0962, 534, 0.013, 0.0225057, 0.035, 0, 711, 21191, 418239, 230330, 0, 
0.09999999999999999, 8, 17.5975, 3832, 0.0153333, 0.025004, 0.0356667, 0, 754, 23590, 464280, 256291, 0, 
0.11, 8, 23.2037, 7593, 0.0163333, 0.0274848, 0.0416667, 0, 849, 26068, 509699, 282350, 0, 
0.12, 8, 43.9148, 17791, 0.0112, 0.0299825, 0.0392, 0, 1503, 46846, 928712, 513163, 0, 
0.13, -, -, -, -, -, -, -, -, -, -, -, -, 
