input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.0, 8, 15.2787, 30, 0, 0.00249624, 0.00666667, 0, 94, 2197, 44487, 24647, 1259, 
0.1, 8, 18.7763, 184, 0.0153333, 0.025004, 0.0356667, 0, 754, 15892, 304705, 176669, 104464, 
0.01, 8, 15.2778, 31, 0, 0.00249624, 0.00666667, 0, 94, 2195, 44491, 24656, 1279, 
0.02, 8, 15.6432, 34, 0.000666667, 0.00498886, 0.0106667, 0, 162, 4305, 84934, 47426, 5001, 
0.03, 8, 15.9695, 37, 0.00233333, 0.00749362, 0.0136667, 0, 221, 6218, 122658, 68893, 10645, 
0.04, 8, 16.3468, 42, 0.00433333, 0.00998342, 0.017, 0, 317, 8057, 155774, 88510, 19237, 
0.05, 8, 16.71, 40, 0.00433333, 0.0124899, 0.0206667, 0, 403, 9536, 187417, 106115, 29157, 
0.060000000000000005, 8, 17.0789, 43, 0.007, 0.0149876, 0.024, 0, 469, 11120, 215471, 122613, 41053, 
0.06999999999999999, 8, 17.4538, 55, 0.00866667, 0.0175043, 0.028, 0, 505, 12362, 241892, 138187, 54935, 
0.08, 8, 17.8476, 70, 0.0113333, 0.0200075, 0.0306667, 0, 597, 13805, 264784, 152275, 70183, 
0.09, 8, 18.267, 64, 0.013, 0.0225057, 0.035, 0, 711, 14933, 285901, 164915, 86950, 
0.09999999999999999, 8, 18.8201, 168, 0.0153333, 0.025004, 0.0356667, 0, 754, 15859, 304749, 177072, 104765, 
0.11, 8, 19.4445, 223, 0.017, 0.0274891, 0.0416667, 0, 809, 16943, 320301, 187655, 124632, 
0.12, 8, 20.095, 290, 0.018, 0.0299905, 0.044, 0, 955, 17779, 335895, 197525, 144566, 
0.13, 8, 21.1327, 423, 0.019, 0.032498, 0.046, 0, 991, 18347, 348856, 207023, 166550, 
0.14, 8, 22.6929, 717, 0.0226667, 0.0350054, 0.0483333, 0, 1008, 19106, 360037, 213559, 190116, 
0.15000000000000002, 8, 24.4846, 863, 0.0246667, 0.0375032, 0.0506667, 0, 1164, 19751, 370566, 221575, 214121, 
0.16, 8, 27.8079, 1331, 0.0273333, 0.0400064, 0.057, 0, 1184, 20488, 377926, 226553, 239046, 
0.17, 8, 34.9253, 1734, 0.0324, 0.0425194, 0.0528, 0, 2109, 34806, 636235, 379534, 448144, 
0.18000000000000002, 8, 49.0116, 2575, 0.0334, 0.0450137, 0.057, 0, 2305, 35131, 628635, 373969, 505995, 
0.19, -, -, -, -, -, -, -, -, -, -, -, -, 
