input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.0, 11, 15.7919, 32, 0, 0.00249624, 0.00666667, 0, 0, 2161, 42184, 21818, 3518, 
0.1, 11, 22.093, 355, 0.0153333, 0.025004, 0.0356667, 0, 0, 10343, 197520, 116580, 178313, 
0.01, 11, 15.7955, 31, 0, 0.00249624, 0.00666667, 0, 0, 2162, 42193, 21793, 3450, 
0.02, 11, 16.5885, 35, 0.000666667, 0.00498886, 0.0106667, 0, 0, 3815, 75316, 39697, 12797, 
0.03, 11, 17.2691, 37, 0.00233333, 0.00749362, 0.0136667, 0, 0, 5167, 102368, 54776, 26160, 
0.04, 11, 17.9114, 42, 0.00433333, 0.00998342, 0.017, 0, 0, 6350, 124184, 67292, 42286, 
0.05, 11, 18.5158, 44, 0.00433333, 0.0124899, 0.0206667, 0, 0, 7342, 141839, 78420, 61210, 
0.060000000000000005, 11, 19.0903, 77, 0.007, 0.0149876, 0.024, 0, 0, 7968, 157276, 87576, 82081, 
0.06999999999999999, 11, 19.6518, 75, 0.00866667, 0.0175043, 0.028, 0, 0, 8748, 169723, 96573, 104436, 
0.08, 11, 20.3603, 182, 0.0113333, 0.0200075, 0.0306667, 0, 0, 9472, 180524, 104160, 128180, 
0.09, 11, 21.1139, 244, 0.013, 0.0225057, 0.035, 0, 0, 9942, 189893, 110420, 153348, 
0.09999999999999999, 11, 22.0285, 360, 0.0153333, 0.025004, 0.0356667, 0, 0, 10352, 197506, 116598, 177957, 
0.11, 11, 23.3006, 580, 0.017, 0.0274891, 0.0416667, 0, 0, 10706, 204117, 121934, 204250, 
0.12, 11, 25.1022, 715, 0.018, 0.0299905, 0.044, 0, 0, 11085, 209834, 126409, 231400, 
0.13, 11, 28.2641, 1173, 0.019, 0.032498, 0.046, 0, 0, 11475, 214616, 130140, 259660, 
0.14, 11, 31.8269, 1277, 0.0226667, 0.0350054, 0.0483333, 0, 0, 11754, 217303, 133132, 288739, 
0.15000000000000002, 11, 44.1617, 3131, 0.0266, 0.0375327, 0.0482, 0, 0, 19934, 363248, 222244, 534073, 
0.16, -, -, -, -, -, -, -, -, -, -, -, -, 
