input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.0, 8, 15.0109, 24, 0, 0.00249624, 0.00666667, 0, 77, 2422, 46342, 25524, 0, 
0.1, 8, 16.0975, 52, 0.0153333, 0.025004, 0.0356667, 0, 775, 23880, 463698, 256562, 0, 
0.01, 8, 15.0109, 24, 0, 0.00249624, 0.00666667, 0, 77, 2422, 46342, 25524, 0, 
0.02, 8, 15.1223, 27, 0.000666667, 0.00498886, 0.0106667, 0, 157, 4673, 92463, 51327, 0, 
0.03, 8, 15.211, 32, 0.00233333, 0.00749362, 0.0136667, 0, 241, 7259, 139152, 76588, 0, 
0.04, 8, 15.3238, 31, 0.00433333, 0.00998342, 0.017, 0, 307, 9691, 184998, 102416, 0, 
0.05, 8, 15.438, 38, 0.00433333, 0.0124899, 0.0206667, 0, 383, 12051, 231732, 127914, 0, 
0.060000000000000005, 8, 15.5446, 36, 0.007, 0.0149876, 0.024, 0, 477, 14454, 278132, 153435, 0, 
0.06999999999999999, 8, 15.6831, 36, 0.00866667, 0.0175043, 0.028, 0, 522, 16792, 324030, 180135, 0, 
0.08, 8, 15.8029, 60, 0.0113333, 0.0200075, 0.0306667, 0, 558, 19251, 370789, 205460, 0, 
0.09, 8, 15.9451, 50, 0.013, 0.0225057, 0.035, 0, 719, 21564, 417438, 230750, 0, 
0.09999999999999999, 8, 16.0975, 52, 0.0153333, 0.025004, 0.0356667, 0, 775, 23880, 463698, 256562, 0, 
0.11, 8, 16.2563, 62, 0.017, 0.0274891, 0.0416667, 0, 819, 26201, 510434, 281489, 0, 
0.12, 8, 16.4216, 71, 0.018, 0.0299905, 0.044, 0, 945, 28744, 556599, 307181, 0, 
0.13, 8, 16.6138, 88, 0.019, 0.032498, 0.046, 0, 980, 30824, 603995, 332365, 0, 
0.14, 8, 16.8393, 134, 0.0226667, 0.0350054, 0.0483333, 0, 1065, 33643, 649788, 358391, 0, 
0.15000000000000002, 8, 17.2518, 783, 0.0246667, 0.0375032, 0.0506667, 0, 1161, 35887, 696260, 384014, 0, 
0.16, 8, 19.6564, 2160, 0.0273333, 0.0400064, 0.057, 0, 1176, 38663, 741700, 410366, 0, 
0.17, -, -, -, -, -, -, -, -, -, -, -, -, 
