input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 8, 25.7406, 89, 0.0165, 0.024976, 0.03625, 0, 1567, 949086, 0, 0, 636683, 
0.2, 8, 29.7864, 118, 0.037, 0.0499637, 0.0635, 0, 3123, 842119, 0, 0, 2330370, 
0.30000000000000004, 8, 36.0816, 169, 0.058, 0.0749553, 0.091, 0, 4847, 733774, 0, 0, 4025724, 
0.4, 8, 47.1, 269, 0.08475, 0.0999656, 0.121, 0, 6471, 623107, 0, 0, 5725002, 
0.5, 8, 94.9333, 606, 0.10625, 0.124954, 0.144, 0, 7945, 513240, 0, 0, 7422951, 
0.41, 8, 48.9376, 265, 0.08425, 0.102464, 0.12275, 0, 6531, 611873, 0, 0, 5895148, 
0.42, 8, 51.1004, 324, 0.087, 0.10497, 0.12275, 0, 6556, 601994, 0, 0, 6064358, 
0.43, 8, 53.6552, 263, 0.09, 0.107471, 0.12675, 0, 6787, 589550, 0, 0, 6235623, 
0.43999999999999995, 8, 56.6003, 342, 0.09075, 0.109974, 0.12825, 0, 7042, 579971, 0, 0, 6404103, 
0.44999999999999996, 8, 60.1555, 328, 0.09175, 0.11246, 0.13075, 0, 7357, 567798, 0, 0, 6574183, 
0.45999999999999996, 8, 64.3889, 361, 0.095, 0.114966, 0.134, 0, 7350, 557340, 0, 0, 6744079, 
0.47, 8, 69.553, 360, 0.099, 0.11746, 0.1395, 0, 7549, 545145, 0, 0, 6914620, 
0.48, 8, 76.0535, 479, 0.0995, 0.119965, 0.1395, 0, 7697, 534081, 0, 0, 7084938, 
0.49, 8, 84.2666, 511, 0.104, 0.122459, 0.1425, 0, 7807, 525127, 0, 0, 7252394, 
0.5, 8, 94.9754, 545, 0.106, 0.124955, 0.1435, 0, 8039, 513197, 0, 0, 7422929, 
0.51, 8, 110.775, 795, 0.10675, 0.127463, 0.15125, 0, 8029, 500811, 0, 0, 7594895, 
0.52, 8, 148.155, 1160, 0.1055, 0.129962, 0.14975, 0, 8133, 491945, 0, 0, 7763360, 
0.53, 8, 267.372, 2279, 0.10125, 0.131819, 0.15425, 0, 8356, 497450, 0, 0, 7928223, 
0.54, 8, 427.325, 3559, 0.09025, 0.131836, 0.153, 0, 8738, 509070, 0, 0, 8138757, 
0.55, -, -, -, -, -, -, -, -, -, -, -, -, 
