input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 8, 19.6396, 45, 0.0165, 0.024976, 0.03625, 0, 1567, 351752, 1128, 38566, 1194323, 
0.2, 8, 22.6667, 67, 0.037, 0.0499637, 0.0635, 0, 3123, 479219, 2909, 86803, 2603558, 
0.30000000000000004, 8, 27.7108, 105, 0.058, 0.0749553, 0.091, 0, 4847, 563983, 5342, 149040, 4041133, 
0.4, 8, 37.3825, 135, 0.08475, 0.0999656, 0.121, 0, 6471, 392516, 8836, 231917, 5714840, 
0.5, 8, 77.5964, 463, 0.10525, 0.124954, 0.1465, 0, 8020, 159880, 14587, 355668, 7405988, 
0.41, 8, 38.8986, 135, 0.08425, 0.102464, 0.12275, 0, 6531, 372284, 9218, 240463, 5885056, 
0.42, 8, 40.57, 146, 0.087, 0.10497, 0.12275, 0, 6556, 350382, 9660, 250119, 6056191, 
0.43, 8, 42.4684, 151, 0.09, 0.107471, 0.12675, 0, 6787, 329659, 10013, 260205, 6225296, 
0.43999999999999995, 8, 44.5863, 181, 0.089, 0.109973, 0.13125, 0, 7054, 309874, 10552, 269851, 6393825, 
0.44999999999999996, 8, 47.0915, 168, 0.09075, 0.112461, 0.13075, 0, 7296, 288985, 10905, 278345, 6563895, 
0.45999999999999996, 8, 50.0406, 214, 0.0945, 0.114966, 0.13525, 0, 7276, 267810, 11346, 290169, 6732148, 
0.47, 8, 53.7778, 230, 0.09125, 0.11746, 0.138, 0, 7548, 244926, 11801, 301919, 6901090, 
0.48, 8, 58.5112, 314, 0.10125, 0.119965, 0.13875, 0, 7794, 221808, 12699, 315267, 7069123, 
0.49, 8, 65.3672, 300, 0.1025, 0.122458, 0.14425, 0, 7805, 194537, 13345, 331041, 7238623, 
0.5, 8, 77.8885, 496, 0.104, 0.124955, 0.148, 0, 8019, 157359, 14530, 356616, 7407564, 
0.51, -, -, -, -, -, -, -, -, -, -, -, -, 
