input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 14, 20.3689, 46, 0.0165, 0.024976, 0.03625, 0, 0, 0, 354150, 92887, 1140299, 
0.2, 14, 23.5404, 69, 0.037, 0.0499637, 0.0635, 0, 0, 0, 582552, 216676, 2376384, 
0.30000000000000004, 14, 28.0715, 96, 0.058, 0.0749553, 0.091, 0, 0, 0, 743551, 365963, 3654831, 
0.4, 14, 36.432, 158, 0.08475, 0.0999656, 0.121, 0, 0, 0, 777832, 552034, 5024714, 
0.5, 17, 63.7931, 247, 0.104, 0.124955, 0.148, 0, 0, 0, 760223, 798710, 6385155, 
0.41, 14, 37.6982, 143, 0.08425, 0.102464, 0.12275, 0, 0, 0, 777590, 574559, 5161403, 
0.42, 15, 39.1092, 157, 0.087, 0.10497, 0.12275, 0, 0, 0, 776011, 596434, 5300463, 
0.43, 15, 40.7001, 150, 0.09, 0.107471, 0.12675, 0, 0, 0, 774364, 616539, 5441057, 
0.43999999999999995, 15, 42.4631, 177, 0.089, 0.109973, 0.13125, 0, 0, 0, 772677, 642278, 5576201, 
0.44999999999999996, 17, 44.5043, 172, 0.09075, 0.112461, 0.13075, 0, 0, 0, 771912, 664069, 5713445, 
0.45999999999999996, 17, 46.9265, 195, 0.0945, 0.114966, 0.13525, 0, 0, 0, 768878, 688228, 5851643, 
0.47, 17, 49.8178, 188, 0.09125, 0.11746, 0.138, 0, 0, 0, 767257, 711895, 5988132, 
0.48, 17, 53.3686, 187, 0.10125, 0.119965, 0.13875, 0, 0, 0, 764094, 739644, 6122953, 
0.49, 17, 57.9016, 244, 0.1025, 0.122458, 0.14425, 0, 0, 0, 762921, 767054, 6255376, 
0.5, 17, 63.8362, 219, 0.104, 0.124955, 0.148, 0, 0, 0, 760256, 797755, 6386077, 
0.51, 17, 72.4453, 234, 0.10875, 0.127462, 0.14875, 0, 0, 0, 757410, 831187, 6515111, 
0.52, 17, 85.8188, 321, 0.11125, 0.129967, 0.151, 0, 0, 0, 755006, 876990, 6631004, 
0.53, 19, 112.355, 2602, 0.10625, 0.132479, 0.15725, 0, 0, 0, 751914, 942466, 6729064, 
0.54, -, -, -, -, -, -, -, -, -, -, -, -, 
