input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 14, 20.2716, 52, 0.0165, 0.024976, 0.03625, 0, 0, 0, 373218, 77422, 1136696, 
0.2, 14, 23.2318, 62, 0.037, 0.0499637, 0.0635, 0, 0, 0, 472737, 180275, 2522600, 
0.30000000000000004, 14, 27.5733, 91, 0.058, 0.0749553, 0.091, 0, 0, 0, 589349, 302525, 3872471, 
0.4, 14, 35.9379, 133, 0.08475, 0.0999656, 0.121, 0, 0, 0, 599121, 453175, 5302284, 
0.5, 17, 59.3341, 215, 0.104, 0.124955, 0.148, 0, 0, 0, 509822, 665792, 6768474, 
0.41, 14, 37.1819, 133, 0.08425, 0.102464, 0.12275, 0, 0, 0, 592500, 471724, 5449328, 
0.42, 14, 38.5737, 186, 0.087, 0.10497, 0.12275, 0, 0, 0, 585339, 489553, 5598016, 
0.43, 14, 40.0166, 146, 0.09, 0.107471, 0.12675, 0, 0, 0, 576416, 506521, 5749023, 
0.43999999999999995, 14, 41.5482, 139, 0.089, 0.109973, 0.13125, 0, 0, 0, 569006, 525392, 5896758, 
0.44999999999999996, 14, 43.4577, 532, 0.09075, 0.112461, 0.13075, 0, 0, 0, 560658, 544549, 6044219, 
0.45999999999999996, 14, 45.4148, 173, 0.0945, 0.114966, 0.13525, 0, 0, 0, 549357, 564737, 6194655, 
0.47, 14, 47.907, 641, 0.09125, 0.11746, 0.138, 0, 0, 0, 540927, 585184, 6341173, 
0.48, 14, 50.8096, 178, 0.10125, 0.119965, 0.13875, 0, 0, 0, 528383, 609014, 6489294, 
0.49, 15, 54.3853, 181, 0.1025, 0.122458, 0.14425, 0, 0, 0, 518636, 634389, 6632326, 
0.5, 17, 59.3971, 203, 0.104, 0.124955, 0.148, 0, 0, 0, 508813, 663503, 6771772, 
0.51, 17, 67.0999, 454, 0.109, 0.127463, 0.14775, 0, 0, 0, 496216, 702661, 6904871, 
0.52, 19, 81.0694, 490, 0.1085, 0.129967, 0.15, 0, 0, 0, 486388, 770194, 7006470, 
0.53, 26, 136.673, 864, 0.112, 0.132479, 0.15175, 0, 0, 0, 480753, 974142, 6968062, 
0.54, -, -, -, -, -, -, -, -, -, -, -, -, 
