input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 8, 20.4241, 47, 0.0178333, 0.0249866, 0.0333333, 0, 2409, 24506, 497422, 135939, 1721708, 
0.2, 8, 23.5924, 70, 0.0401667, 0.0499794, 0.0611667, 0, 4837, 43681, 819667, 312903, 3583644, 
0.30000000000000004, 8, 28.0314, 95, 0.0623333, 0.0749741, 0.0873333, 0, 7219, 49091, 1064000, 528835, 5498772, 
0.4, 8, 36.0722, 134, 0.0853333, 0.0999936, 0.118833, 0, 9438, 49454, 1161440, 793582, 7519914, 
0.5, 8, 60.9176, 195, 0.107, 0.124991, 0.141667, 0, 11883, 49504, 1229423, 1120967, 9506366, 
0.41, 8, 37.2847, 130, 0.089, 0.102494, 0.118833, 0, 9686, 49431, 1167485, 820216, 7725422, 
0.42, 8, 38.6061, 153, 0.0898333, 0.104996, 0.121167, 0, 9963, 49453, 1173533, 849660, 7928225, 
0.43, 8, 40.0956, 159, 0.0918333, 0.107498, 0.123833, 0, 10142, 49462, 1178842, 882051, 8129000, 
0.43999999999999995, 8, 41.7753, 168, 0.0935, 0.110003, 0.128167, 0, 10476, 49482, 1184527, 914257, 8329627, 
0.44999999999999996, 8, 43.6771, 164, 0.0981667, 0.112497, 0.128167, 0, 10709, 49466, 1190562, 943687, 8531930, 
0.45999999999999996, 8, 45.9194, 159, 0.0995, 0.115001, 0.133833, 0, 10992, 49486, 1196138, 976157, 8732355, 
0.47, 8, 48.5322, 180, 0.0986667, 0.117498, 0.133333, 0, 11351, 49510, 1203751, 1009841, 8928928, 
0.48, 8, 51.7549, 188, 0.104667, 0.119998, 0.1365, 0, 11666, 49488, 1210657, 1046460, 9123638, 
0.49, 8, 55.739, 193, 0.105333, 0.122495, 0.140833, 0, 11610, 49487, 1219181, 1084395, 9315340, 
0.5, 8, 60.9203, 226, 0.107, 0.124991, 0.141667, 0, 11883, 49507, 1229838, 1123073, 9503842, 
0.51, 8, 68.0971, 215, 0.111667, 0.127495, 0.143833, 0, 12390, 49502, 1241525, 1165902, 9687676, 
0.52, 8, 78.8268, 231, 0.1145, 0.129996, 0.1465, 0, 12430, 49508, 1257661, 1217616, 9858394, 
0.53, 8, 96.9294, 286, 0.115, 0.132502, 0.150333, 0, 12725, 49490, 1281322, 1284350, 10006892, 
0.54, 8, 168.357, 4480, 0.086, 0.134323, 0.153333, 0, 12953, 61882, 1312399, 1373793, 10137854, 
0.55, -, -, -, -, -, -, -, -, -, -, -, -, 
