input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 8, 44.6364, 340, 0.0143333, 0.0250394, 0.0386667, 0, 1178, 23538, 647103, 505884, 15841, 
0.2, 8, 55.2575, 801, 0.0356667, 0.0500303, 0.067, 0, 2428, 21620, 539900, 1765097, 55846, 
0.30000000000000004, 8, 65.8757, 517, 0.06125, 0.0750302, 0.09125, 0, 4899, 25020, 598829, 4010588, 129715, 
0.4, 8, 73.3515, 566, 0.0786667, 0.10009, 0.121333, 0, 4885, 15620, 379386, 4233908, 138487, 
0.5, 8, 94.5009, 754, 0.102, 0.125071, 0.153, 0, 6029, 12952, 306779, 5458347, 180074, 
0.41, 8, 74.4354, 683, 0.0793333, 0.102585, 0.123333, 0, 4855, 15336, 373847, 4354305, 142890, 
0.42, 8, 75.297, 598, 0.0875, 0.105046, 0.1235, 0, 6690, 20243, 490570, 5964832, 195375, 
0.43, 8, 76.4803, 597, 0.079, 0.107567, 0.132333, 0, 5035, 14817, 362414, 4595902, 150791, 
0.43999999999999995, 8, 77.7167, 564, 0.09075, 0.110057, 0.12925, 0, 7082, 19509, 473604, 6289462, 206738, 
0.44999999999999996, 8, 79.2905, 549, 0.0906667, 0.112577, 0.134, 0, 5564, 14496, 347885, 4841387, 158600, 
0.45999999999999996, 8, 80.8465, 702, 0.091, 0.115084, 0.139333, 0, 5442, 13971, 341236, 4964153, 162838, 
0.47, 8, 83.3623, 581, 0.0943333, 0.11757, 0.14, 0, 5556, 13712, 333339, 5086438, 167216, 
0.48, 8, 85.9571, 592, 0.0976667, 0.120075, 0.144, 0, 5828, 13470, 326762, 5207439, 172333, 
0.49, 8, 89.9037, 751, 0.101333, 0.122571, 0.145667, 0, 5873, 13286, 316702, 5333226, 175853, 
0.5, 8, 94.4897, 649, 0.104, 0.125071, 0.158333, 0, 5940, 13103, 307403, 5458886, 178907, 
0.51, 8, 100.811, 714, 0.106, 0.127573, 0.153667, 0, 6143, 12706, 298544, 5582697, 183665, 
0.52, 8, 109.537, 926, 0.101667, 0.13006, 0.154, 0, 6249, 12634, 288002, 5708219, 187430, 
0.53, 8, 120.497, 985, 0.108, 0.132562, 0.161333, 0, 6326, 12454, 276076, 5835125, 191823, 
0.54, 8, 135.354, 1140, 0.112, 0.135066, 0.158333, 0, 6443, 12029, 262282, 5964082, 196738, 
0.55, 8, 162.601, 1826, 0.111333, 0.137546, 0.161, 0, 6524, 11939, 245194, 6097489, 199884, 
0.5599999999999999, 8, 238.865, 5472, 0.0802, 0.139326, 0.1608, 0, 11289, 19968, 388885, 10370447, 338736, 
0.57, 8, 345.072, 6654, 0.0722, 0.139728, 0.1628, 0, 11271, 19665, 389791, 10563213, 346949, 
0.58, -, -, -, -, -, -, -, -, -, -, -, -, 
