input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 8, 20.3837, 48, 0.0178333, 0.0249866, 0.0333333, 0, 2409, 17709, 501749, 116842, 1743275, 
0.2, 8, 23.4172, 70, 0.0401667, 0.0499794, 0.0611667, 0, 4837, 24571, 604362, 271609, 3859353, 
0.30000000000000004, 8, 28.0029, 105, 0.0623333, 0.0749741, 0.0873333, 0, 7219, 28398, 712639, 455823, 5943838, 
0.4, 8, 36.56, 148, 0.0853333, 0.0999936, 0.118833, 0, 9438, 20436, 634071, 684305, 8185578, 
0.5, 8, 64.0167, 240, 0.107, 0.124991, 0.141667, 0, 11883, 9816, 429703, 1006570, 10460171, 
0.41, 8, 37.8406, 153, 0.089, 0.102494, 0.118833, 0, 9686, 19225, 614560, 709012, 8419757, 
0.42, 8, 39.1821, 168, 0.0898333, 0.104996, 0.121167, 0, 9963, 18494, 595698, 736743, 8649936, 
0.43, 8, 40.6991, 210, 0.0918333, 0.107498, 0.123833, 0, 10142, 17289, 575725, 763471, 8882870, 
0.43999999999999995, 8, 42.4235, 178, 0.0935, 0.110003, 0.128167, 0, 10476, 16214, 556700, 792028, 9112951, 
0.44999999999999996, 8, 44.3793, 160, 0.0981667, 0.112497, 0.128167, 0, 10709, 15562, 534618, 819629, 9345836, 
0.45999999999999996, 8, 46.6797, 188, 0.0995, 0.115001, 0.133833, 0, 10992, 14385, 514119, 850356, 9575276, 
0.47, 8, 49.4373, 201, 0.0986667, 0.117498, 0.133333, 0, 11351, 13446, 491943, 881597, 9805044, 
0.48, 8, 52.9084, 193, 0.104667, 0.119998, 0.1365, 0, 11666, 12038, 471340, 918003, 10028862, 
0.49, 8, 57.4375, 209, 0.105333, 0.122495, 0.140833, 0, 11610, 11068, 450201, 958789, 10248345, 
0.5, 8, 64.0426, 233, 0.107, 0.124991, 0.141667, 0, 11883, 9722, 428559, 1008072, 10459907, 
0.51, 8, 75.4662, 335, 0.111667, 0.127495, 0.143833, 0, 12390, 8088, 408065, 1085350, 10643102, 
0.52, 8, 110.247, 490, 0.1145, 0.129996, 0.1465, 0, 12430, 6665, 393590, 1293877, 10689047, 
0.53, -, -, -, -, -, -, -, -, -, -, -, -, 
