input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 8, 42.448, 346, 0.016, 0.0250508, 0.035, 0, 3267, 15929, 448597, 343477, 9632, 
0.2, 8, 42.2392, 366, 0.0375, 0.0500317, 0.063, 0, 6261, 15869, 395874, 1186260, 35327, 
0.30000000000000004, 8, 49.6817, 462, 0.059, 0.0750403, 0.09275, 0, 9521, 15622, 349516, 2023431, 61241, 
0.4, 8, 56.547, 557, 0.08275, 0.100053, 0.121, 0, 12987, 15507, 308501, 2855519, 86783, 
0.5, 8, 65.8595, 573, 0.105, 0.125026, 0.14675, 0, 16108, 15614, 277468, 3676263, 112827, 
0.6, 8, 77.243, 634, 0.12975, 0.150031, 0.17425, 0, 19159, 15698, 252592, 4493751, 137782, 
0.7000000000000001, 8, 97.2906, 952, 0.1545, 0.174982, 0.19925, 0, 22519, 15609, 226791, 5309554, 164185, 
0.8, 8, 170.435, 3321, 0.1575, 0.199773, 0.22575, 0, 25805, 15540, 194899, 6142776, 189559, 
0.71, 8, 100.627, 1040, 0.15325, 0.177479, 0.199, 0, 22824, 15651, 224685, 5391638, 166372, 
0.72, 8, 104.019, 778, 0.159, 0.179984, 0.20325, 0, 23015, 15688, 220944, 5474182, 169456, 
0.73, 8, 108.233, 887, 0.16125, 0.182472, 0.20375, 0, 23589, 15649, 217207, 5557917, 171102, 
0.74, 8, 112.81, 827, 0.16325, 0.184991, 0.20725, 0, 23963, 15674, 213805, 5640678, 174195, 
0.75, 8, 118.024, 934, 0.16275, 0.187497, 0.21275, 0, 24005, 15670, 211455, 5723330, 176396, 
0.76, 8, 124.522, 974, 0.169, 0.189993, 0.2145, 0, 24112, 15619, 207705, 5807136, 178521, 
0.77, 8, 131.392, 1088, 0.17075, 0.192492, 0.21525, 0, 24561, 15569, 204649, 5889116, 181809, 
0.78, 8, 140.588, 1515, 0.171, 0.194997, 0.2195, 0, 24987, 15588, 200758, 5974039, 183821, 
0.7899999999999999, 8, 152.922, 1878, 0.1715, 0.197426, 0.22225, 0, 25156, 15585, 198015, 6056379, 186876, 
0.7999999999999999, 8, 171.785, 2332, 0.1555, 0.199734, 0.22525, 0, 25606, 15563, 195007, 6143545, 189588, 
0.8099999999999999, 8, 199.569, 3212, 0.146, 0.201897, 0.231, 0, 26075, 15570, 192931, 6235063, 191743, 
0.82, 8, 240.545, 3684, 0.144, 0.20357, 0.225, 0, 26259, 15506, 192036, 6334243, 195066, 
0.83, 8, 297.132, 4842, 0.132, 0.20487, 0.2295, 0, 26651, 15576, 191238, 6446444, 197691, 
0.84, 8, 363.212, 5156, 0.142, 0.205883, 0.232, 0, 27222, 15651, 192608, 6569448, 200950, 
0.85, 8, 439.152, 5352, 0.126, 0.206548, 0.237, 0, 27178, 15623, 194662, 6705803, 202824, 
0.86, -, -, -, -, -, -, -, -, -, -, -, -, 
