input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 8, 19.7409, 46, 0.016, 0.0250508, 0.035, 0, 3267, 5946, 188773, 39221, 583695, 
0.2, 8, 21.6298, 59, 0.0375, 0.0500317, 0.063, 0, 6261, 7264, 229578, 88388, 1308100, 
0.30000000000000004, 8, 23.5218, 65, 0.059, 0.0750403, 0.09275, 0, 9521, 8952, 260034, 142420, 2038404, 
0.4, 8, 26.1062, 123, 0.08325, 0.100053, 0.11825, 0, 12892, 9826, 296497, 203273, 2756881, 
0.5, 8, 31.6806, 196, 0.10625, 0.125026, 0.144, 0, 16005, 8298, 317110, 272756, 3484216, 
0.6, 8, 39.1733, 231, 0.128, 0.15003, 0.171, 0, 19037, 6521, 297731, 349737, 4245897, 
0.7000000000000001, 8, 47.3987, 265, 0.1525, 0.174977, 0.19725, 0, 22393, 4717, 268490, 435284, 5007769, 
0.8, 8, 67.081, 570, 0.17775, 0.199965, 0.22625, 0, 25748, 2537, 236785, 536727, 5760406, 
0.71, 8, 48.605, 274, 0.155, 0.177485, 0.2005, 0, 22746, 4249, 264642, 444080, 5085523, 
0.72, 8, 49.8217, 284, 0.1575, 0.17998, 0.202, 0, 23141, 4184, 262391, 452462, 5161123, 
0.73, 8, 51.1788, 364, 0.16075, 0.182478, 0.204, 0, 23586, 3978, 258539, 462618, 5236621, 
0.74, 8, 52.7355, 297, 0.1605, 0.184993, 0.20825, 0, 23562, 3901, 255831, 472423, 5312632, 
0.75, 8, 54.4116, 298, 0.16675, 0.187498, 0.2095, 0, 24076, 3517, 252381, 481421, 5389390, 
0.76, 8, 56.2074, 293, 0.16725, 0.189996, 0.2145, 0, 24561, 3541, 248541, 492182, 5464395, 
0.77, 8, 58.2952, 347, 0.1685, 0.192495, 0.21825, 0, 24680, 3172, 245900, 502964, 5538848, 
0.78, 8, 60.6719, 345, 0.17275, 0.194995, 0.2155, 0, 24744, 2940, 242586, 514373, 5613350, 
0.7899999999999999, 8, 63.4137, 365, 0.175, 0.197479, 0.21975, 0, 25258, 2690, 240493, 523803, 5687816, 
0.7999999999999999, 8, 66.789, 408, 0.17775, 0.199965, 0.22625, 0, 25748, 2548, 236355, 535015, 5762537, 
0.8099999999999999, 8, 71.1534, 555, 0.17825, 0.202489, 0.22825, 0, 25852, 2493, 232847, 550150, 5834281, 
0.82, 8, 77.0003, 555, 0.18125, 0.204988, 0.22975, 0, 26248, 2269, 230170, 566857, 5903138, 
0.83, 8, 86.404, 602, 0.17425, 0.207498, 0.2315, 0, 26617, 1465, 225146, 595615, 5962861, 
0.84, 8, 100.042, 741, 0.18875, 0.209997, 0.2325, 0, 27188, 868, 220925, 649758, 5996134, 
0.85, -, -, -, -, -, -, -, -, -, -, -, -, 
