input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 8, 16.3879, 36, 0.0143333, 0.0250394, 0.0386667, 0, 1262, 28405, 855879, 19227, 288771, 
0.2, 8, 19.7527, 50, 0.0356667, 0.0500303, 0.067, 0, 2297, 38852, 1128286, 77904, 1137552, 
0.30000000000000004, 8, 23.1094, 65, 0.0586667, 0.0750622, 0.0936667, 0, 3631, 55720, 1397838, 145234, 1976071, 
0.4, 8, 26.4647, 84, 0.0743333, 0.10009, 0.123, 0, 4803, 89833, 1978261, 198574, 2500711, 
0.5, 8, 30.665, 102, 0.102, 0.12507, 0.149, 0, 6023, 135453, 2775914, 241316, 2805530, 
0.6, 8, 36.7519, 122, 0.122333, 0.150085, 0.176, 0, 7171, 186783, 3772940, 274319, 2917585, 
0.7000000000000001, 8, 46.7977, 163, 0.150667, 0.175026, 0.203, 0, 8500, 242399, 5038502, 291391, 2771219, 
0.8, 8, 66.4001, 241, 0.171667, 0.200017, 0.228333, 0, 9670, 297773, 6770103, 281115, 2193798, 
0.9, 8, 121.81, 890, 0.197333, 0.225048, 0.25, 0, 11060, 344811, 8964116, 232879, 1222322, 
0.81, 8, 69.3386, 269, 0.174667, 0.202531, 0.230667, 0, 9742, 303950, 6972775, 278231, 2109212, 
0.8200000000000001, 8, 72.6251, 287, 0.175333, 0.205036, 0.232333, 0, 9838, 308649, 7179897, 274362, 2022222, 
0.8300000000000001, 8, 76.6308, 281, 0.177, 0.207539, 0.236667, 0, 10048, 313735, 7392320, 270213, 1929938, 
0.8400000000000001, 8, 80.637, 359, 0.182, 0.210049, 0.237333, 0, 10097, 318772, 7606086, 265795, 1837285, 
0.8500000000000001, 8, 85.5992, 392, 0.184, 0.212554, 0.243667, 0, 10360, 324685, 7821369, 261874, 1741608, 
0.8600000000000001, 8, 91.1261, 421, 0.185667, 0.215061, 0.244, 0, 10493, 328498, 8047151, 255771, 1639730, 
0.8700000000000001, 8, 97.0575, 501, 0.188333, 0.217535, 0.245333, 0, 10463, 333039, 8269049, 250884, 1540118, 
0.8800000000000001, 8, 104.384, 530, 0.190333, 0.220072, 0.247, 0, 10292, 337653, 8499356, 245955, 1434492, 
0.89, 8, 112.645, 623, 0.194333, 0.22256, 0.25, 0, 10759, 341851, 8731344, 238185, 1328675, 
0.9, 8, 121.808, 744, 0.197, 0.225048, 0.25, 0, 10835, 345475, 8963906, 231536, 1223341, 
0.91, 8, 133.021, 754, 0.198, 0.227549, 0.25, 0, 11003, 350624, 9199098, 226784, 1113198, 
0.92, 8, 145.844, 1037, 0.196333, 0.230052, 0.25, 0, 11017, 355198, 9448578, 218427, 995237, 
0.93, 8, 161.396, 1024, 0.202667, 0.232555, 0.25, 0, 11252, 359521, 9697775, 210308, 878799, 
0.9400000000000001, 8, 180.185, 1192, 0.207333, 0.234981, 0.25, 0, 11350, 362950, 9955953, 202159, 758116, 
0.9500000000000001, 8, 203.807, 1286, 0.21075, 0.237314, 0.25, 0, 15306, 489781, 13601301, 256501, 836801, 
0.9600000000000001, 8, 235.504, 1478, 0.21275, 0.238897, 0.25, 0, 15356, 495320, 13910895, 247228, 713090, 
0.9700000000000001, 8, 276.103, 1952, 0.20825, 0.239027, 0.25, 0, 15627, 501071, 14161958, 244645, 646898, 
0.9800000000000001, -, -, -, -, -, -, -, -, -, -, -, -, 
