input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.0, 8, 13.949, 21, 0, 0.00248363, 0.00633333, 0, 92, 2480, 60485, 0, 0, 
0.1, 8, 14.7627, 31, 0.0153333, 0.0250073, 0.036, 0, 962, 25397, 608586, 0, 0, 
0.2, 8, 15.8899, 43, 0.0336667, 0.0499821, 0.065, 0, 1970, 50469, 1216733, 0, 0, 
0.30000000000000004, 8, 17.3146, 51, 0.056, 0.0749595, 0.0953333, 0, 3026, 75548, 1824938, 22, 0, 
0.4, 8, 19.1851, 63, 0.0786667, 0.0999692, 0.121333, 0, 3931, 101545, 2433115, 347, 23, 
0.5, 8, 21.7401, 80, 0.104333, 0.124913, 0.146333, 0, 4917, 126148, 3038867, 2959, 113, 
0.6000000000000001, 8, 25.4035, 99, 0.125, 0.14992, 0.177333, 0, 5814, 150715, 3634560, 17395, 692, 
0.7000000000000001, 8, 31.0422, 129, 0.148333, 0.17494, 0.199667, 0, 6630, 173484, 4190077, 73654, 2953, 
0.8, 8, 41.3379, 200, 0.172333, 0.199956, 0.227667, 0, 6936, 191605, 4598478, 278714, 11196, 
0.71, 8, 31.7762, 136, 0.154, 0.17744, 0.200333, 0, 6769, 176547, 4238909, 84866, 3394, 
0.72, 8, 32.5821, 133, 0.149667, 0.179944, 0.205333, 0, 6818, 178765, 4288505, 96575, 3947, 
0.73, 8, 33.4249, 143, 0.153667, 0.182463, 0.209333, 0, 6820, 180852, 4336178, 110497, 4549, 
0.74, 8, 34.3233, 149, 0.158667, 0.184968, 0.211333, 0, 6871, 181803, 4382593, 126433, 5073, 
0.75, 8, 35.2424, 156, 0.163333, 0.18745, 0.217667, 0, 6986, 183471, 4426717, 143416, 5744, 
0.76, 8, 36.312, 161, 0.163667, 0.189966, 0.218, 0, 7007, 185607, 4467173, 164437, 6535, 
0.77, 8, 37.4017, 166, 0.17, 0.192461, 0.217667, 0, 6987, 187766, 4505457, 186950, 7578, 
0.78, 8, 38.5999, 165, 0.169667, 0.194979, 0.220667, 0, 7043, 189166, 4540481, 213858, 8517, 
0.7899999999999999, 8, 39.9252, 173, 0.169, 0.197487, 0.225667, 0, 7046, 189955, 4572900, 243734, 9902, 
0.7999999999999999, 8, 41.3312, 200, 0.172333, 0.199956, 0.227667, 0, 6907, 191637, 4598199, 278976, 11210, 
0.8099999999999999, 8, 42.9637, 201, 0.177667, 0.202472, 0.229, 0, 6947, 192406, 4617870, 321538, 12855, 
0.82, 8, 44.7255, 188, 0.177667, 0.20496, 0.232, 0, 7038, 192375, 4630158, 371274, 14934, 
0.83, 8, 46.7474, 223, 0.181333, 0.207476, 0.238333, 0, 6857, 193481, 4630746, 432321, 17079, 
0.84, 8, 49.0893, 223, 0.183333, 0.209955, 0.239, 0, 6871, 192291, 4620715, 504498, 20255, 
0.85, 8, 51.923, 217, 0.183667, 0.212464, 0.239667, 0, 6640, 190162, 4575925, 612064, 24707, 
0.86, 8, 56.3274, 250, 0.188333, 0.21495, 0.240333, 0, 6565, 184155, 4437656, 813157, 32560, 
0.87, -, -, -, -, -, -, -, -, -, -, -, -, 
