input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 8, 14.9344, 46, 0.0136667, 0.024987, 0.0383333, 0, 1687, 72787, 2170071, 26459, 0, 
0.2, 8, 16.2568, 52, 0.0353333, 0.049984, 0.0673333, 0, 3285, 144668, 4341757, 53491, 1, 
0.30000000000000004, 8, 18.0554, 71, 0.0566667, 0.0749761, 0.0966667, 0, 5013, 216938, 6512196, 81268, 42, 
0.4, 8, 20.6262, 88, 0.0793333, 0.100002, 0.121, 0, 6518, 289660, 8669086, 125508, 614, 
0.5, 8, 24.5095, 118, 0.100333, 0.125003, 0.147333, 0, 8178, 358946, 10724246, 270398, 4462, 
0.6, 8, 30.8293, 499, 0.124667, 0.150027, 0.177667, 0, 9841, 418015, 12340386, 851246, 25526, 
0.6100000000000001, 8, 31.679, 595, 0.127667, 0.152522, 0.178667, 0, 10107, 423555, 12447978, 960662, 29860, 
0.6200000000000001, 8, 32.695, 930, 0.128333, 0.155012, 0.182667, 0, 10056, 426022, 12524714, 1102440, 36033, 
0.6300000000000001, 8, 33.6558, 1115, 0.130667, 0.157509, 0.185333, 0, 10163, 429719, 12600342, 1244209, 42319, 
0.6400000000000001, 8, 35.0097, 1145, 0.133, 0.159997, 0.185667, 0, 10443, 432831, 12615226, 1443867, 51207, 
0.6500000000000001, 8, 36.6072, 1487, 0.134667, 0.162502, 0.190333, 0, 10457, 432983, 12601403, 1675695, 61450, 
0.6600000000000001, 8, 38.8907, 1877, 0.136333, 0.164993, 0.189667, 0, 10831, 433250, 12498818, 1990817, 75405, 
