input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 8, 16.6403, 40, 0.0183333, 0.0250146, 0.0338333, 0, 2809, 80054, 2323319, 80397, 879013, 
0.2, 8, 20.2678, 57, 0.0393333, 0.0500088, 0.0633333, 0, 5716, 115536, 3045196, 267225, 3268117, 
0.30000000000000004, 8, 23.8882, 147, 0.0626667, 0.0750041, 0.0895, 0, 8577, 180124, 4044404, 470994, 5325871, 
0.4, 8, 29.8766, 1398, 0.0845, 0.100014, 0.115667, 0, 11244, 285553, 5822755, 658038, 6585088, 
0.31, 8, 24.2649, 198, 0.0638333, 0.0775049, 0.0931667, 0, 8948, 187870, 4191627, 491294, 5482784, 
0.32, 8, 24.6454, 174, 0.0663333, 0.0800143, 0.094, 0, 9024, 198302, 4351757, 510388, 5627946, 
0.33, 8, 25.0488, 238, 0.0691667, 0.0825164, 0.0958333, 0, 9332, 208230, 4513917, 529002, 5769905, 
0.33999999999999997, 8, 25.4773, 320, 0.0716667, 0.085015, 0.100167, 0, 9829, 217614, 4682345, 547406, 5905832, 
0.35, 8, 25.9378, 606, 0.0746667, 0.0875129, 0.101833, 0, 9854, 227842, 4858738, 568706, 6030532, 
0.36, 8, 26.5293, 746, 0.075, 0.0900186, 0.107167, 0, 10437, 239788, 5038960, 586465, 6154810, 
0.37, 8, 27.1523, 727, 0.0763333, 0.092522, 0.11, 0, 10674, 250590, 5227669, 602987, 6272703, 
0.38, 8, 28.0193, 988, 0.0775, 0.0950227, 0.1125, 0, 10832, 262327, 5415710, 623435, 6384757, 
0.39, 8, 28.8972, 1157, 0.0823333, 0.097518, 0.112667, 0, 11015, 274599, 5619860, 641767, 6483306, 
0.4, 8, 29.9854, 1441, 0.0845, 0.100014, 0.115667, 0, 11244, 285404, 5820891, 659238, 6586386, 
0.41000000000000003, 8, 32.5392, 1601, 0.0881667, 0.102516, 0.118833, 0, 11443, 296139, 6027715, 681857, 6680078, 
0.42, 8, 36.3833, 2521, 0.0895, 0.105012, 0.122333, 0, 11904, 310121, 6231308, 704883, 6770863, 
0.43, 8, 42.9783, 2506, 0.0918333, 0.107514, 0.123667, 0, 12201, 322006, 6431252, 732209, 6863115, 
0.44, 8, 49.695, 2941, 0.0941667, 0.110015, 0.127667, 0, 12672, 334631, 6653274, 759177, 6933846, 
0.45, 8, 62.3965, 2923, 0.0951667, 0.112515, 0.127833, 0, 12942, 350326, 6908323, 788366, 6965280, 
0.45999999999999996, 8, 105.379, 3263, 0.0985, 0.115011, 0.130667, 0, 13333, 392381, 7764185, 782028, 6405955, 
0.47, 8, 98.3606, 4344, 0.101, 0.117505, 0.133833, 0, 13380, 399800, 7979446, 795002, 6503793, 
