input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 11, 20.6554, 52, 0.018, 0.0249975, 0.033, 0, 0, 19001, 557347, 148587, 2131455, 
0.2, 11, 23.985, 78, 0.0386667, 0.0499849, 0.061, 0, 0, 27576, 672655, 360300, 4651283, 
0.30000000000000004, 11, 30.4326, 243, 0.0613333, 0.0749806, 0.0888333, 0, 0, 28628, 765653, 641005, 7133230, 
0.4, 13, 44.3758, 336, 0.0803333, 0.099983, 0.115667, 0, 0, 18459, 582288, 1000352, 9825267, 
0.31, 11, 31.7263, 240, 0.0638333, 0.0774777, 0.09, 0, 0, 27739, 761213, 671789, 7393200, 
0.32, 11, 32.9716, 260, 0.0646667, 0.0799845, 0.0938333, 0, 0, 26436, 751783, 705475, 7656708, 
0.33, 11, 34.229, 293, 0.0691667, 0.0824867, 0.0973333, 0, 0, 25724, 738013, 740083, 7922591, 
0.33999999999999997, 11, 35.4715, 287, 0.0711667, 0.0849848, 0.0996667, 0, 0, 24569, 721403, 774782, 8191225, 
0.35, 11, 36.7581, 278, 0.0746667, 0.0874818, 0.101, 0, 0, 23573, 700462, 810150, 8463273, 
0.36, 11, 38.0358, 294, 0.0756667, 0.0899906, 0.105667, 0, 0, 22340, 680040, 845840, 8735900, 
0.37, 11, 39.3304, 308, 0.0785, 0.092493, 0.106667, 0, 0, 21565, 657706, 884886, 9006019, 
0.38, 11, 40.8912, 325, 0.0811667, 0.0949927, 0.110333, 0, 0, 20540, 634470, 920375, 9280576, 
0.39, 12, 42.5261, 341, 0.0835, 0.0974905, 0.115, 0, 0, 19420, 609670, 958967, 9553476, 
0.4, 12, 44.3415, 317, 0.0803333, 0.099983, 0.115667, 0, 0, 18032, 581523, 1000262, 9826549, 
0.41000000000000003, 11, 46.5123, 322, 0.0873333, 0.102488, 0.1175, 0, 0, 17062, 555594, 1041032, 10099087, 
0.42, 14, 49.0426, 349, 0.0893333, 0.104992, 0.121667, 0, 0, 16669, 527521, 1080133, 10374606, 
0.43, 11, 52.1281, 354, 0.0908333, 0.107494, 0.124333, 0, 0, 15041, 500372, 1125924, 10643747, 
0.44, 12, 56.03, 371, 0.0931667, 0.109997, 0.128667, 0, 0, 13991, 470207, 1172932, 10914067, 
0.45, 14, 61.2809, 432, 0.098, 0.112493, 0.129167, 0, 0, 12896, 441180, 1222023, 11180506, 
0.45999999999999996, 14, 69.018, 454, 0.0985, 0.114998, 0.1315, 0, 0, 11819, 410202, 1277142, 11443680, 
0.47, 11, 82.086, 586, 0.101667, 0.117493, 0.135167, 0, 0, 11135, 376456, 1349332, 11691235, 
0.48, 14, 116.477, 853, 0.103167, 0.119995, 0.1355, 0, 0, 10706, 341753, 1512159, 11849624, 
0.49, -, -, -, -, -, -, -, -, -, -, -, -, 
