input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.0, 11, 15.8091, 29, 0, 0.00250201, 0.007, 0, 0, 4408, 97260, 2574, 38704, 
0.1, 11, 20.6187, 50, 0.014, 0.0249988, 0.0363333, 0, 0, 12365, 280932, 69823, 1065196, 
0.2, 11, 24.0448, 68, 0.0336667, 0.0499874, 0.067, 0, 0, 16706, 340972, 169369, 2329197, 
0.30000000000000004, 11, 36.6296, 263, 0.057, 0.0750242, 0.095, 0, 0, 13503, 369772, 302029, 3601870, 
0.4, 14, 55.2186, 413, 0.0783333, 0.100054, 0.123, 0, 0, 941, 182083, 478476, 5056654, 
0.31, 11, 38.2438, 244, 0.0613333, 0.0775298, 0.099, 0, 0, 12135, 357112, 318532, 3742649, 
0.32, 11, 39.6921, 246, 0.063, 0.080033, 0.102333, 0, 0, 11176, 342291, 335072, 3884972, 
0.33, 11, 40.9376, 261, 0.0636667, 0.0825464, 0.104, 0, 0, 9593, 327346, 353195, 4027052, 
0.33999999999999997, 11, 42.2142, 283, 0.064, 0.085034, 0.109333, 0, 0, 8376, 310665, 369910, 4170406, 
0.35, 12, 43.5526, 320, 0.0683333, 0.0875333, 0.110333, 0, 0, 7431, 293099, 385963, 4315754, 
0.36, 13, 45.1026, 293, 0.069, 0.0900397, 0.111333, 0, 0, 6298, 273671, 405104, 4460541, 
0.37, 13, 46.8879, 322, 0.0713333, 0.0925399, 0.114333, 0, 0, 4774, 253230, 423398, 4607084, 
0.38, 14, 49.0341, 357, 0.0713333, 0.0950423, 0.115333, 0, 0, 3747, 231597, 440560, 4755704, 
0.39, 14, 51.6825, 377, 0.0746667, 0.0975478, 0.119333, 0, 0, 2237, 207951, 460056, 4904601, 
0.4, 14, 55.1488, 457, 0.0783333, 0.100054, 0.123, 0, 0, 1315, 182331, 479932, 5054576, 
0.41000000000000003, 14, 59.9615, 469, 0.0813333, 0.102545, 0.124667, 0, 0, 735, 156035, 497431, 5206461, 
0.42, 14, 68.4319, 647, 0.0823333, 0.105028, 0.126667, 0, 0, 197, 121477, 518012, 5363038, 
0.43, 17, 90.2616, 816, 0.086, 0.107525, 0.131, 0, 0, 278, 89215, 550504, 5505492, 
0.44, -, -, -, -, -, -, -, -, -, -, -, -, 
