input_inj_rate, min_latency_str, avg_latency_str, max_latency_str, min_inj_str, avg_inj_str, max_inj_str, num_0_hops, num_1_hops, num_2_hops, num_3_hops, num_4_hops, num_5_hops, 
0.1, 8, 16.5593, 39, 0.018, 0.0249975, 0.033, 0, 2640, 69131, 1990419, 51654, 742546, 
0.2, 8, 20.1604, 56, 0.0386667, 0.0499849, 0.061, 0, 5339, 95811, 2564804, 209702, 2836158, 
0.30000000000000004, 8, 23.6983, 68, 0.0613333, 0.0749806, 0.0888333, 0, 8112, 145598, 3304573, 395906, 4714327, 
0.4, 8, 27.4869, 92, 0.0803333, 0.099983, 0.115667, 0, 10875, 234838, 4765175, 564030, 5851448, 
0.5, 8, 32.7066, 122, 0.1075, 0.124984, 0.141333, 0, 13571, 347849, 6703647, 710299, 6509400, 
0.6, 8, 41.5589, 159, 0.133167, 0.15, 0.167167, 0, 16220, 474782, 9076801, 837692, 6740602, 
0.7000000000000001, 8, 62.1763, 237, 0.154833, 0.174976, 0.194, 0, 19036, 612185, 12225489, 929731, 6218578, 
0.8, 8, 143.945, 634, 0.182, 0.199947, 0.220167, 0, 21635, 750792, 17084181, 914964, 4097663, 
0.71, 8, 65.7987, 239, 0.158333, 0.177477, 0.198167, 0, 19167, 628807, 12628178, 933413, 6082159, 
0.72, 8, 70.0488, 247, 0.158167, 0.179975, 0.197167, 0, 19576, 641966, 13050490, 938462, 5927237, 
0.73, 8, 74.801, 279, 0.162833, 0.182477, 0.202167, 0, 19631, 657229, 13496843, 939045, 5751695, 
0.74, 8, 80.6009, 306, 0.163833, 0.184959, 0.2045, 0, 19887, 671392, 13959361, 937061, 5561183, 
0.75, 8, 87.1331, 338, 0.1655, 0.18745, 0.2085, 0, 20184, 685270, 14435754, 936731, 5356683, 
0.76, 8, 95.3183, 378, 0.170167, 0.189951, 0.2095, 0, 20469, 698353, 14938657, 933915, 5130086, 
0.77, 8, 104.892, 430, 0.170667, 0.192448, 0.213833, 0, 20611, 712352, 15454488, 929786, 4890825, 
0.78, 8, 115.93, 480, 0.174167, 0.194943, 0.219667, 0, 20988, 725562, 15980262, 924371, 4643062, 
0.7899999999999999, 8, 129.032, 519, 0.174833, 0.197444, 0.216667, 0, 21361, 738399, 16526844, 920824, 4374176, 
0.7999999999999999, 8, 144.025, 702, 0.180333, 0.199947, 0.221667, 0, 21462, 750724, 17087547, 914280, 4095266, 
0.8099999999999999, 8, 161.205, 680, 0.1815, 0.202449, 0.223833, 0, 21729, 761106, 17700879, 907847, 3765324, 
0.82, 8, 177.263, 1056, 0.185, 0.204952, 0.225333, 0, 22113, 772681, 18729657, 868911, 3051724, 
